ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
9	Stop	Up	-1.1612	9.2658	3.8524	0.2072	0.1344	0.0671	0.0
73	Stop	Up	0.6967	9.2706	3.6273	0.3458	0.0495	0.1667	0.0
123	Stop	Up	-0.3998	9.2970	2.8803	0.3550	-0.0067	0.0335	0.0
189	Stop	Up	0.1053	9.0432	2.9306	0.2548	0.0568	0.0452	0.0
239	Stop	Up	-0.0886	9.2515	2.5331	0.2725	-0.0568	0.0287	0.0
306	Stop	Up	0.0527	9.2180	2.8324	0.1504	0.0416	0.0207	0.0
372	Stop	Up	-0.2753	9.4502	2.7319	0.1045	0.0257	0.0452	0.0
422	Stop	Up	-0.2873	9.5148	2.6361	0.1113	-0.0006	0.0054	0.0
488	Stop	Up	-0.0144	9.6896	2.9713	0.1009	0.0342	0.0250	0.0
539	Stop	Up	-0.3113	9.6777	2.8731	0.1577	-0.0433	-0.0367	0.0
606	Stop	Up	-0.6058	9.4598	2.4062	0.2072	-0.0354	-0.0233	0.0
671	Stop	Up	0.0958	9.4239	2.0303	0.1736	0.0251	-0.0453	0.0
722	Stop	Up	-0.2706	9.3377	2.1046	0.2005	-0.0464	0.0250	0.0
789	Stop	Up	0.1197	9.5579	1.6329	0.1339	0.0617	0.0238	0.0
856	Stop	Up	-0.5220	9.5077	2.3344	0.0960	-0.0165	-0.0593	0.0
905	Stop	Up	0.2275	9.6777	1.6832	0.1320	-0.0623	0.0018	0.0
971	Stop	Up	0.0455	9.6154	1.8196	0.0691	0.0257	-0.0758	0.0
1021	Stop	Up	-0.4405	9.6489	1.9585	0.0850	0.0196	0.0012	0.0
1086	Stop	Up	-0.0694	9.6465	1.8987	0.0917	-0.0091	-0.0104	0.0
1153	Stop	Up	-0.4980	9.6250	2.1477	0.0777	-0.0110	-0.0208	0.0
1203	Stop	Up	-0.1269	9.7136	1.6042	0.0771	0.0184	-0.0208	0.0
1268	Stop	Up	-0.3998	9.6202	1.8196	0.0942	0.0208	-0.0043	0.0
1335	Stop	Up	-0.1125	9.6801	1.6999	0.1217	0.0178	0.0397	0.0
1385	Stop	Up	-0.2394	9.7926	1.4725	0.0746	0.0428	0.0183	0.0
1451	Stop	Up	0.1963	9.7830	1.3911	0.1039	0.0190	0.0274	0.0
1501	Stop	Up	-0.3879	9.7255	1.5180	0.0685	0.0251	-0.0275	0.0
1567	Stop	Up	-0.4214	9.7136	1.5419	0.1253	-0.0152	0.0476	0.0
1634	Stop	Up	0.0096	9.7495	1.3504	0.0960	0.0092	-0.0086	0.0
1685	Stop	Up	-0.5603	9.6322	1.4581	0.1198	-0.0073	0.0287	0.0
1753	Stop	Up	0.2035	9.7639	0.9433	0.1498	-0.0220	0.0586	0.0
1817	Stop	Up	-0.3879	9.8165	1.1253	0.1491	-0.0476	0.0207	0.0
1870	Stop	Up	0.0168	9.9123	0.8931	0.1162	-0.0843	0.0965	0.0
1937	Stop	Up	-0.1125	9.9003	1.0655	0.0936	-0.0244	0.0525	0.0
1983	Stop	Up	0.0670	9.8046	0.6177	0.1223	-0.0439	0.0177	0.0
2048	Stop	Up	-0.1748	9.8165	1.0367	0.0942	0.0031	0.0085	0.0
2115	Stop	Up	-0.1437	9.7758	0.8619	0.1149	-0.0329	0.0097	0.0
2166	Stop	Up	0.0000	9.7950	0.6536	0.1003	0.0220	-0.0049	0.0
2232	Stop	Up	0.0407	9.6992	0.7039	0.1131	0.0214	0.0054	0.0
2282	Stop	Up	-0.0958	9.7710	0.7614	0.1064	0.0031	-0.0227	0.0
2348	Stop	Up	-0.2658	9.8644	0.3160	0.0899	0.0165	-0.0404	0.0
2415	Stop	Up	0.0838	9.8836	0.5196	0.0685	0.0159	0.0054	0.0
2465	Stop	Up	-0.1676	9.8955	0.6369	0.1125	-0.0189	0.0213	0.0
2531	Stop	Up	-0.1341	9.9267	0.1748	0.1278	-0.0134	-0.0086	0.0
2597	Stop	Up	0.1006	9.9075	0.2035	0.1241	-0.0055	-0.0025	0.0
2648	Stop	Up	-0.2083	9.8285	0.3017	0.1510	-0.0275	0.0195	0.0
2715	Stop	Up	0.1532	9.8620	0.1053	0.1320	0.0013	0.0409	0.0
2763	Stop	Up	-0.1149	9.6992	0.2538	0.1137	0.0116	-0.0184	0.0
2830	Stop	Up	-0.1508	9.7184	-0.1269	0.1424	-0.0183	-0.0062	0.0
2896	Stop	Up	0.2059	10.1469	-0.1820	0.1052	-0.0226	-0.0312	0.0
2946	Stop	Up	-0.1963	9.8309	0.1556	0.1186	-0.0458	-0.0734	0.0
3013	Stop	Up	-0.5579	9.7710	-0.1796	0.0936	0.0385	-0.0947	0.0
3078	Stop	Up	-0.2035	9.6801	-0.4693	0.1888	-0.0684	0.0757	0.0
3126	Stop	Up	0.3424	9.7615	-0.7590	0.1192	-0.0244	0.0897	0.0
3193	Stop	Up	-0.0623	9.9458	-0.4812	0.0887	0.0226	0.0219	0.0
3245	Stop	Up	-0.0551	9.9554	-0.3974	0.0911	0.0165	-0.0013	0.0
3310	Stop	Up	0.0263	9.9003	-0.5579	0.1186	-0.0110	-0.0049	0.0
3377	Stop	Up	0.1963	9.9386	-0.5459	0.1339	0.0019	0.0280	0.0
3426	Stop	Up	0.0862	9.8022	-0.7853	0.1553	-0.0220	0.0048	0.0
3496	Stop	Up	-0.0335	9.6250	-0.7638	0.1259	-0.0238	-0.0129	0.0
3542	Stop	Up	-0.3855	9.5627	-0.9960	0.1168	-0.0116	-0.0263	0.0
3612	Stop	Up	0.3184	9.7710	-0.9026	0.0978	-0.0348	0.0830	0.0
3676	Stop	Up	-0.0287	9.8453	-0.7111	0.0758	0.0049	0.0329	0.0
3725	Stop	Up	-0.0910	10.0560	-0.9745	0.1125	-0.0238	0.0397	0.0
3793	Stop	Up	0.4669	10.0129	-0.9146	0.1467	0.0116	0.0592	0.0
3842	Stop	Up	-0.3256	9.7686	-1.1852	0.1809	0.0275	-0.0233	0.0
3909	Stop	Up	0.2945	9.6609	-1.7574	0.2060	-0.0415	0.0213	0.0
3975	Stop	Up	-0.1628	9.6082	-2.1022	0.1357	0.0269	-0.0355	0.0
4025	Stop	Up	0.0359	9.7208	-1.3815	0.0673	0.0074	0.0018	0.0
4092	Stop	Up	0.1772	9.7303	-1.4581	0.1192	-0.0079	0.0073	0.0
4143	Stop	Up	0.6488	9.4478	-0.5315	0.1430	-0.0415	-0.0056	0.0
4225	Stop	Up	0.1461	9.7902	-2.1261	0.1278	-0.0305	0.0348	0.0
4278	Stop	Up	0.0024	9.7710	-1.4461	0.1039	-0.0012	0.0158	0.0
4323	Stop	Up	-0.0886	9.6729	-1.8412	0.1253	-0.0305	-0.0208	0.0
4390	Stop	Up	0.0910	9.5388	-1.9465	0.1308	0.0049	-0.0117	0.0
4455	Stop	Up	-0.1461	9.6202	-2.1237	0.0856	-0.0030	0.0122	0.0
4506	Stop	Up	0.0024	9.9027	-2.2315	0.1760	-0.0763	0.0678	0.0
4574	Stop	Up	0.3807	9.7758	-2.0806	0.2536	-0.1307	0.0604	0.0
4621	Stop	Up	-0.0646	9.6968	-2.4446	0.1834	0.0074	-0.0190	0.0
4688	Stop	Up	0.0694	9.5220	-2.4326	0.1821	-0.0354	-0.0001	0.0
4756	Stop	Up	0.0694	9.4287	-2.5715	0.1632	0.0031	0.0397	0.0
4804	Stop	Up	0.0790	9.3856	-2.9545	0.1992	-0.0201	0.0842	0.0
4871	Stop	Up	0.3304	9.3185	-2.7582	0.1223	0.0379	0.0232	0.0
