ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
5000	Stop	Left	-0.6201	9.5627	1.8651	-0.0743	-0.0013	0.0337	0.0
42	Stop	Left	-0.4836	9.5244	2.1548	0.0332	-0.0141	0.0343	0.0
108	Stop	Left	-0.5076	9.5532	2.2219	0.0149	0.0274	0.0191	0.0
175	Stop	Left	-0.5100	9.6082	1.9154	0.0069	-0.0147	0.0142	0.0
225	Stop	Left	-0.5243	9.6250	2.1285	-0.0065	0.0030	0.0093	0.0
290	Stop	Left	-0.6273	9.5532	2.1932	-0.0029	0.0207	-0.0048	0.0
357	Stop	Left	-0.6058	9.5771	2.2219	0.0149	0.0219	0.0093	0.0
406	Stop	Left	-0.7135	9.5436	1.8532	0.0167	0.0439	0.0160	0.0
473	Stop	Left	-0.7877	9.5101	1.9370	0.0033	0.0726	0.0221	0.0
523	Stop	Left	-0.9170	9.6226	1.9920	-0.0059	0.1160	0.0166	0.0
589	Stop	Left	-0.6967	9.6370	2.3129	-0.0603	0.1496	0.0508	0.0
656	Stop	Left	-0.7255	9.6393	2.1860	0.0045	0.2339	0.0484	0.0
706	Stop	Left	-0.5483	9.5795	2.1620	-0.0016	0.2687	0.0411	0.0
772	Stop	Left	-0.4142	9.5412	1.9513	0.0271	0.2430	0.0325	0.0
838	Stop	Left	-0.5962	9.5675	1.9849	0.0045	0.2485	0.0227	0.0
888	Stop	Left	-0.3855	9.5556	2.3655	-0.0419	0.2498	0.0203	0.0
954	Stop	Left	-0.4693	9.6609	2.0447	-0.0016	0.1985	0.0343	0.0
1004	Stop	Left	-0.5507	9.7016	2.0854	-0.0139	0.1502	0.0227	0.0
1070	Stop	Left	-0.7231	9.6202	1.9633	0.0112	0.1013	0.0258	0.0
1137	Stop	Left	-0.6201	9.5963	2.1165	-0.0016	0.1209	0.0319	0.0
1187	Stop	Left	-0.7901	9.5077	2.0710	0.0210	0.0952	0.0484	0.0
1253	Stop	Left	-0.8691	9.5771	1.9944	0.0081	0.1545	0.0484	0.0
1303	Stop	Left	-1.0463	9.5771	1.9418	0.0051	0.1826	0.0466	0.0
