ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
50	Stop	Up	-0.5435	6.5292	7.2810	0.0821	-0.0468	-0.0464	0.0
100	Stop	Up	-0.6872	6.6226	7.5276	0.0210	-0.0267	-0.0031	0.0
166	Stop	Up	-0.6465	6.7351	7.3720	0.0705	-0.0896	0.0256	0.0
232	Stop	Up	-0.5243	6.7710	6.8644	0.1364	-0.1580	0.0238	0.0
282	Stop	Up	-0.5100	6.7758	7.1804	0.0619	-0.0749	0.0293	0.0
348	Stop	Up	-0.4214	6.7806	7.3552	0.0705	-0.0731	0.0317	0.0
415	Stop	Up	-0.4573	7.1182	7.1110	0.1316	0.0039	0.0189	0.0
465	Stop	Up	-0.5220	7.2235	7.0080	0.2721	0.0986	-0.0092	0.0
532	Stop	Up	-0.5603	7.3289	6.3903	0.3820	0.1590	-0.0074	0.0
582	Stop	Up	-0.5243	7.3815	6.6465	0.2134	0.2464	0.0061	0.0
649	Stop	Up	-0.6752	7.5228	6.5555	0.1652	0.1535	0.0098	0.0
715	Stop	Up	-0.6536	7.6521	6.5771	0.3075	0.0625	0.0146	0.0
765	Stop	Up	-0.6872	7.8005	6.0336	0.3893	-0.0334	0.0104	0.0
832	Stop	Up	-0.6393	7.9274	5.9186	0.4590	-0.0248	0.0049	0.0
899	Stop	Up	-0.5938	8.0304	5.7726	0.4046	-0.0395	0.0372	0.0
947	Stop	Up	-0.7734	8.1286	5.6529	0.4046	0.0039	0.0330	0.0
1015	Stop	Up	-0.6800	8.2172	5.1525	0.4333	-0.0334	0.0617	0.0
1064	Stop	Up	-0.6034	8.3560	5.1549	0.4553	0.0222	0.0623	0.0
1131	Stop	Up	-0.5100	8.4566	5.1022	0.3881	0.0014	0.0708	0.0
1197	Stop	Up	-0.4932	8.5595	4.2738	0.4248	-0.0401	0.0550	0.0
1247	Stop	Up	-0.2921	8.6529	4.4941	0.4034	-0.0853	0.0605	0.0
1314	Stop	Up	-0.4477	8.7990	4.0846	0.4162	-0.0230	-0.0049	0.0
1361	Stop	Up	-0.4501	8.8636	3.9913	0.3331	0.0234	0.0116	0.0
1428	Stop	Up	-0.4597	8.9690	4.3576	0.3612	-0.0413	-0.0538	0.0
1496	Stop	Up	-0.5267	9.0025	3.5435	0.4455	-0.1721	-0.0917	0.0
1545	Stop	Up	-0.5148	8.9211	3.4310	0.3338	-0.1220	-0.0483	0.0
1612	Stop	Up	-0.4382	9.0575	3.5100	0.2940	0.0112	-0.0269	0.0
1662	Stop	Up	-0.5890	9.2587	3.0695	0.3105	-0.0022	-0.0019	0.0
1730	Stop	Up	-0.4453	9.3472	3.2490	0.2837	-0.0267	0.0281	0.0
1795	Stop	Up	-0.3855	9.3784	2.5715	0.3393	-0.0597	0.1075	0.0
1845	Stop	Up	-0.1341	9.3712	2.6361	0.3130	0.0375	0.0879	0.0
1911	Stop	Up	-0.1317	9.3760	2.4661	0.3215	0.0204	0.0385	0.0
1976	Stop	Up	-0.3041	9.4287	2.2506	0.2354	0.1566	0.0171	0.0
2027	Stop	Up	-0.3639	9.5436	2.1548	0.2604	0.1377	0.0110	0.0
2094	Stop	Up	-0.3472	9.5651	2.1429	0.1884	0.1877	-0.0098	0.0
2144	Stop	Up	-0.4549	9.5891	1.9753	0.2226	0.1468	-0.0110	0.0
2210	Stop	Up	-0.4693	9.5699	2.0710	0.1896	0.1438	0.0714	0.0
2277	Stop	Up	-0.2466	9.8405	1.4557	0.3191	0.1334	0.0385	0.0
2325	Stop	Up	-0.2418	9.9051	1.6928	0.1871	0.1670	0.0305	0.0
2394	Stop	Up	-0.3639	9.8453	1.2977	0.3325	0.2336	-0.0067	0.0
2441	Stop	Up	-0.3376	9.7830	1.0200	0.2867	0.2543	0.0275	0.0
2508	Stop	Up	-0.3639	9.7327	0.5148	0.2837	0.2140	0.0183	0.0
2576	Stop	Up	-0.3639	9.6848	0.9098	0.2708	0.2061	-0.0049	0.0
2624	Stop	Up	-0.3160	9.7950	0.3304	0.2873	0.1120	0.0055	0.0
2690	Stop	Up	-0.3759	9.7016	0.6752	0.1914	0.0845	0.0073	0.0
2756	Stop	Up	-0.4908	9.8381	0.0862	0.2531	0.0558	-0.0098	0.0
2805	Stop	Up	-0.3639	9.8357	0.1006	0.1945	-0.0224	-0.0037	0.0
2855	Stop	Up	-0.4525	9.8931	-0.0455	0.2195	0.0277	-0.0006	0.0
2938	Stop	Up	-0.4405	9.9075	-0.1868	0.1523	0.0210	0.0226	0.0
2988	Stop	Up	-0.3304	9.9219	0.2011	0.1474	0.0576	0.0189	0.0
3054	Stop	Up	-0.5196	9.9674	-0.4980	0.2323	-0.0395	-0.0483	0.0
3104	Stop	Up	-0.5220	9.9267	-0.4860	0.2256	0.0692	0.0110	0.0
3170	Stop	Up	-0.5315	9.8955	-0.4741	0.1896	0.1181	0.0262	0.0
3237	Stop	Up	-0.3855	9.7519	-0.9314	0.2433	0.1315	0.0562	0.0
3286	Stop	Up	-0.3184	9.6441	-0.7829	0.1731	0.1144	0.0556	0.0
3353	Stop	Up	-0.2801	9.7232	-0.8045	0.1878	0.0356	0.0177	0.0
3403	Stop	Up	-0.0192	9.8046	-0.9050	0.1218	0.1334	0.0476	0.0
3470	Stop	Up	-0.1987	9.9075	-1.3504	0.2000	0.2140	-0.0300	0.0
3538	Stop	Up	-0.1341	9.9865	-1.0894	0.2250	0.2122	-0.0770	0.0
3586	Stop	Up	-0.4597	9.8093	-1.4940	0.2476	0.2372	-0.1143	0.0
3652	Stop	Up	-0.3759	9.7758	-1.4126	0.2433	0.1731	-0.0672	0.0
3701	Stop	Up	-0.1389	9.7567	-1.3935	0.2116	0.1010	-0.0355	0.0
3768	Stop	Up	-0.3352	9.7399	-1.6640	0.2928	0.2061	0.0159	0.0
3834	Stop	Up	-0.4693	9.6130	-2.2889	0.3735	0.1541	0.0140	0.0
3884	Stop	Up	-0.3017	9.5077	-2.1213	0.2989	-0.0059	0.0678	0.0
3952	Stop	Up	-0.1987	9.3880	-2.6074	0.2812	0.0362	0.0788	0.0
4020	Stop	Up	-0.0287	9.4885	-2.4278	0.2378	0.0130	0.0947	0.0
4068	Stop	Up	-0.2322	9.4358	-3.0695	0.2757	0.0271	0.0666	0.0
4134	Stop	Up	-0.2490	9.4430	-2.9857	0.2769	-0.0151	0.0098	0.0
4201	Stop	Up	-0.0790	9.3520	-2.6648	0.1829	-0.0688	-0.0226	0.0
4251	Stop	Up	-0.1269	9.4287	-3.0216	0.1804	0.0027	-0.0104	0.0
4316	Stop	Up	-0.2418	9.3927	-3.2059	0.2537	-0.0535	-0.0373	0.0
4367	Stop	Up	-0.3232	9.3496	-3.5531	0.2397	-0.0261	-0.0257	0.0
4435	Stop	Up	-0.2442	9.1605	-3.7375	0.2464	-0.0707	0.0397	0.0
4484	Stop	Up	-0.1628	9.1246	-3.8596	0.2482	0.0008	0.0702	0.0
4550	Stop	Up	-0.0646	9.1342	-3.3879	0.1896	0.0191	0.0507	0.0
4615	Stop	Up	-0.1700	9.0935	-4.0703	0.2336	-0.0090	-0.0092	0.0
4664	Stop	Up	-0.2370	9.0336	-3.8261	0.2104	0.0289	0.0012	0.0
4731	Stop	Up	-0.2203	9.0144	-3.7925	0.1969	-0.0377	-0.0098	0.0
4798	Stop	Up	-0.3041	9.0551	-4.4629	0.2116	0.0240	0.0061	0.0
4848	Stop	Up	-0.1939	8.8995	-4.6377	0.2910	0.0595	0.0421	0.0
4915	Stop	Up	0.0144	8.7966	-4.4510	0.1713	0.0717	0.0293	0.0
4970	Stop	Up	-0.1341	8.6170	-4.3001	0.1762	0.0204	0.0018	0.0
