class gyro0mean gyro0var gyro1mean gyro1var gyro2mean gyro2var
1 0.056135 0.188213 0.085315 0.517559 0.006940 0.257464
1 0.047855 0.183973 0.076060 0.482236 -0.001920 0.251023
1 0.039915 0.175619 0.073735 0.466546 0.003760 0.275301
1 0.031825 0.174581 0.070710 0.440829 0.018150 0.337380
1 0.016830 0.146310 0.066315 0.401129 0.028260 0.377028
1 0.010260 0.151114 0.064330 0.381415 0.039590 0.407122
1 0.004520 0.144655 0.065065 0.387343 0.049060 0.423631
1 0.000305 0.128852 0.063050 0.371437 0.058585 0.441447
1 0.011240 0.115276 0.061890 0.364970 0.055165 0.440837
1 0.020555 0.094766 0.058345 0.344062 0.041910 0.427570
1 0.025075 0.100056 0.054310 0.320137 0.026730 0.391330
1 0.033690 0.128961 0.053880 0.319193 0.015825 0.357835
1 0.028375 0.129068 0.049420 0.317655 0.006630 0.337942
1 0.036655 0.184204 0.054185 0.323023 -0.000120 0.332316
1 0.039465 0.198040 0.062585 0.329803 -0.008215 0.349555
1 0.027280 0.226172 0.076270 0.353768 -0.010015 0.357421
1 0.022025 0.225959 0.089525 0.380175 0.002810 0.356564
1 0.014415 0.216343 0.099790 0.377307 0.019915 0.360725
1 0.004425 0.228439 0.103090 0.368599 0.032770 0.327525
1 -0.003700 0.242794 0.107945 0.355097 0.037260 0.320350
1 -0.010575 0.236109 0.096400 0.402505 0.034390 0.328901
1 -0.012955 0.244736 0.086350 0.441969 0.027150 0.370673
1 -0.014755 0.249647 0.067020 0.479032 0.006500 0.406721
1 -0.009625 0.244724 0.041090 0.557965 -0.009355 0.347219
1 -0.008035 0.239301 0.019585 0.584861 -0.025970 0.323936
1 -0.002320 0.233383 -0.007995 0.633832 -0.033575 0.291436
1 0.001620 0.235040 -0.030020 0.640087 -0.046925 0.286623
1 -0.003050 0.234099 -0.051950 0.672412 -0.056145 0.266311
1 -0.004545 0.230282 -0.067435 0.685398 -0.050405 0.273925
1 -0.007020 0.228852 -0.086460 0.739735 -0.038585 0.281171
1 -0.012885 0.224759 -0.104235 0.784018 -0.031320 0.276520
1 -0.030020 0.223921 -0.116330 0.814080 -0.033275 0.280363
1 -0.027025 0.221438 -0.128425 0.885794 -0.032420 0.279436
1 -0.035060 0.166125 -0.146050 0.949941 -0.028540 0.278477
1 -0.033470 0.176982 -0.167735 1.038333 -0.020540 0.261462
1 -0.017500 0.166170 -0.190860 1.073655 -0.015135 0.245731
1 -0.005310 0.201360 -0.208455 1.059203 -0.032450 0.277287
1 0.002635 0.212775 -0.216885 1.050189 -0.054835 0.316655
1 0.002850 0.211677 -0.219880 1.055811 -0.071785 0.385157
1 0.010240 0.196356 -0.226080 1.072316 -0.075300 0.388640
1 0.009540 0.197821 -0.220310 1.039048 -0.068370 0.380737
1 0.019435 0.191181 -0.210625 1.005547 -0.044210 0.409067
1 0.032565 0.213817 -0.195660 0.959100 -0.016385 0.442974
1 0.038490 0.233767 -0.180055 0.854698 -0.000595 0.502044
1 0.050890 0.259542 -0.167105 0.799469 0.016665 0.529797
1 0.053880 0.266512 -0.156415 0.711848 0.016205 0.529358
1 0.058800 0.285460 -0.153055 0.686720 0.019170 0.517767
1 0.062250 0.284049 -0.142610 0.625572 0.012725 0.544822
1 0.062770 0.285105 -0.134885 0.596337 0.005885 0.539614
1 0.066160 0.287828 -0.123340 0.530025 -0.001780 0.522890
1 0.063165 0.296799 -0.106845 0.481137 -0.004465 0.519861
1 0.076145 0.273496 -0.101775 0.454228 -0.005135 0.521918
1 0.073090 0.276732 -0.078260 0.420697 -0.006175 0.523179
1 0.070035 0.269880 -0.054895 0.386003 -0.008005 0.522216
1 0.061820 0.237199 -0.023865 0.368216 -0.004645 0.530215
1 0.048110 0.236293 0.012970 0.501149 0.001160 0.539163
1 0.028375 0.240842 0.045105 0.699741 0.015725 0.495659
1 0.019975 0.230731 0.060650 0.752349 0.033225 0.428303
1 0.024100 0.216665 0.080810 0.841266 0.052070 0.362434
1 0.028315 0.227327 0.101825 0.896648 0.056930 0.358988
1 0.037720 0.239967 0.120825 0.962641 0.052290 0.361202
1 0.040620 0.252720 0.138995 1.089689 0.031585 0.312377
1 0.035585 0.227858 0.157780 1.271777 0.010605 0.231525
1 0.022240 0.222358 0.179435 1.434206 -0.008360 0.185027
1 0.010695 0.193760 0.200115 1.609168 -0.022565 0.144160
1 0.007490 0.186287 0.225160 1.743127 -0.024975 0.144431
1 -0.001555 0.165410 0.251945 1.844720 -0.022655 0.140459
1 -0.005340 0.166981 0.270915 1.941337 -0.013065 0.112913
1 -0.008305 0.163448 0.284295 1.992512 -0.004300 0.126651
1 -0.010685 0.160223 0.294370 2.013341 0.003855 0.146080
1 -0.006345 0.150194 0.293330 2.010844 0.011520 0.169831
1 -0.011355 0.142430 0.293025 2.012124 0.021905 0.177854
1 -0.009585 0.139946 0.277910 1.994242 0.027130 0.179949
1 -0.013645 0.141719 0.257415 2.014846 0.023340 0.186720
1 -0.015110 0.141329 0.232065 1.986188 0.011430 0.199664
1 -0.011600 0.127719 0.196180 1.858805 0.001075 0.202713
1 0.003000 0.095608 0.159620 1.708463 -0.006985 0.205632
1 0.004770 0.093116 0.134605 1.723277 -0.021035 0.239239
1 0.000830 0.106109 0.112275 1.646526 -0.029280 0.231981
1 -0.006865 0.096905 0.096055 1.573088 -0.025585 0.242611
1 -0.012700 0.080232 0.077120 1.505891 -0.013520 0.274476
1 -0.024150 0.067718 0.056080 1.380265 -0.001120 0.263745
1 -0.028365 0.061959 0.023795 1.234656 0.011220 0.269050
1 -0.017585 0.056460 -0.012365 1.161447 0.024230 0.269526
1 -0.009645 0.065156 -0.048710 1.065675 0.025880 0.265853
1 -0.010530 0.064507 -0.080170 0.960697 0.019770 0.287932
1 -0.006280 0.066261 -0.108085 0.848862 0.013235 0.310667
1 0.000530 0.071666 -0.133225 0.763655 0.008590 0.315089
1 -0.003255 0.077417 -0.157780 0.758719 0.001595 0.299365
1 0.004045 0.101530 -0.174880 0.755835 -0.015755 0.321605
1 0.000500 0.108672 -0.186485 0.775664 -0.035055 0.350346
1 0.002640 0.109487 -0.187400 0.779072 -0.040155 0.335071
1 0.007560 0.115597 -0.186090 0.774625 -0.035300 0.357197
1 0.010585 0.112898 -0.177660 0.733046 -0.020915 0.393997
1 0.009115 0.114303 -0.174575 0.711655 0.000190 0.449856
1 0.011620 0.110498 -0.168375 0.664826 0.014575 0.468776
1 0.006275 0.102609 -0.165385 0.639034 0.013535 0.472974
1 0.005115 0.103963 -0.159340 0.593326 0.014910 0.462636
1 0.013510 0.091130 -0.165080 0.634766 0.009900 0.485165
1 0.009995 0.102791 -0.170365 0.653425 -0.004700 0.507725
1 0.005325 0.109232 -0.169025 0.649437 -0.020155 0.488084
1 -0.004665 0.184364 -0.167500 0.647354 -0.034390 0.510282
1 -0.020915 0.295618 -0.154305 0.611409 -0.046825 0.504274
1 -0.027270 0.287597 -0.133295 0.532907 -0.041660 0.542652
1 -0.032950 0.276054 -0.115675 0.450674 -0.029565 0.583693
1 -0.033835 0.275990 -0.104525 0.398316 -0.016735 0.572997
1 -0.039090 0.275638 -0.096155 0.366515 -0.003480 0.563217
1 -0.042450 0.268079 -0.089130 0.339029 0.004675 0.567073
1 -0.034175 0.270981 -0.074380 0.282263 0.005530 0.566895
1 -0.035335 0.264219 -0.062560 0.256980 0.013350 0.526803
1 -0.024005 0.277399 -0.046890 0.251737 0.013745 0.523197
1 -0.017410 0.303248 -0.031315 0.280461 0.001280 0.574566
1 -0.027430 0.310694 -0.019250 0.300158 -0.011640 0.558204
1 -0.028900 0.310982 -0.010300 0.315243 -0.022480 0.515341
