class acce0mean acce0var acce1mean acce1var acce2mean acce2var gyro0mean gyro0var gyro1mean gyro1var gyro2mean gyro2var
1 -0.210695 2.871939 9.780135 1819.440222 0.536330 9.627986 -0.034585 0.198838 -0.144200 0.528540 -0.005365 0.300354
1 -0.189865 2.938107 9.748770 1807.343460 0.574515 10.384628 -0.042035 0.181937 -0.133755 0.475102 0.007065 0.301078
1 -0.174305 2.912467 9.765410 1813.510408 0.548295 9.358136 -0.034795 0.174558 -0.124775 0.425915 0.022670 0.299272
1 -0.138750 2.462165 9.792345 1823.736664 0.579660 9.358827 -0.039745 0.147380 -0.111215 0.373898 0.028595 0.278693
1 -0.134920 2.374449 9.805035 1828.453824 0.592830 9.803756 -0.029605 0.143297 -0.098080 0.316726 0.026180 0.286471
1 -0.151680 2.872043 9.828740 1837.278253 0.568770 9.346655 -0.025300 0.136086 -0.078685 0.357974 0.012645 0.342409
1 -0.178735 3.031548 9.859985 1848.930303 0.619645 11.442175 -0.026950 0.134845 -0.059380 0.408400 -0.002230 0.310761
1 -0.118280 3.938314 9.888360 1859.692420 0.592590 10.718352 -0.028965 0.137259 -0.043105 0.441804 -0.007420 0.293086
1 -0.131565 3.943258 9.894705 1862.063489 0.583490 10.424022 -0.022430 0.154311 -0.028230 0.486390 -0.010445 0.280067
1 -0.127495 3.949766 9.880340 1856.928476 0.610545 11.231234 -0.031990 0.147673 -0.008345 0.486043 -0.017345 0.283932
1 -0.118160 3.958313 9.875790 1855.281431 0.601685 10.854190 -0.034525 0.150957 0.009310 0.502092 -0.011970 0.276726
1 -0.096010 3.932313 9.848975 1845.437826 0.624790 11.762945 -0.037275 0.155016 0.031055 0.499257 0.001500 0.272072
1 -0.051235 3.394352 9.818925 1834.107050 0.710385 12.636598 -0.036725 0.154932 0.048190 0.470175 0.018875 0.267235
1 0.001080 3.018739 9.768525 1814.403848 0.701405 12.421794 -0.024230 0.103539 0.062730 0.448788 0.034150 0.272016
1 -0.015565 3.060743 9.776905 1817.496860 0.756830 14.254575 -0.024655 0.104175 0.070855 0.428511 0.036565 0.269570
1 -0.020355 3.090384 9.793785 1823.746939 0.795495 15.340663 -0.019955 0.095850 0.079895 0.398510 0.039405 0.263765
1 -0.013770 3.061911 9.814015 1831.364509 0.859900 16.763666 -0.015375 0.085349 0.075560 0.391840 0.033905 0.269008
1 -0.060935 3.076405 9.825265 1835.525442 0.903355 17.904392 -0.007525 0.078464 0.081820 0.392658 0.020255 0.247907
1 -0.087750 3.234219 9.854475 1846.406291 0.903000 17.892844 0.000815 0.070414 0.090220 0.391179 0.008525 0.236515
1 -0.051595 3.395085 9.874950 1854.207770 0.886960 17.623532 0.007655 0.067455 0.103140 0.416692 0.002505 0.241807
1 -0.043095 3.310822 9.881775 1856.746624 0.900485 18.036512 0.014345 0.068967 0.108455 0.414302 -0.007575 0.241998
1 -0.077690 3.401088 9.883810 1857.507120 0.884685 17.592614 0.007320 0.094396 0.122660 0.474459 -0.025260 0.277530
1 -0.107255 3.620728 9.873155 1853.535351 0.883370 17.556464 0.002650 0.094760 0.136895 0.521298 -0.037750 0.262254
1 -0.137660 3.945243 9.835565 1839.429656 0.903240 17.951031 -0.002600 0.087746 0.148165 0.584128 -0.036010 0.261763
1 -0.138620 3.966125 9.814615 1831.712392 0.883250 17.342505 -0.008405 0.080356 0.157205 0.620311 -0.025225 0.264387
1 -0.108690 3.234016 9.793185 1823.714797 0.903360 17.680220 -0.009780 0.081098 0.156810 0.616663 -0.005735 0.231623
1 -0.087500 3.056533 9.771755 1815.636222 0.862300 15.851476 -0.009625 0.081117 0.154155 0.593238 0.010725 0.277168
1 -0.139695 2.104851 9.746375 1805.973805 0.865530 15.905443 -0.003455 0.083715 0.153790 0.590316 0.020710 0.329914
1 -0.127965 2.093399 9.749250 1807.059596 0.831770 15.409890 -0.005010 0.076627 0.152295 0.578398 0.022210 0.335364
1 -0.139815 2.111224 9.778820 1817.817042 0.823030 15.089122 0.004365 0.081939 0.152205 0.577717 0.028900 0.330526
1 -0.162320 2.207902 9.810425 1829.604972 0.805430 14.533744 0.011630 0.085673 0.154560 0.597987 0.026150 0.331558
1 -0.158250 2.246244 9.874115 1853.927130 0.781490 13.608773 0.024855 0.120131 0.157460 0.625410 0.019765 0.316029
1 -0.163040 2.226350 9.902605 1864.648808 0.772270 13.235010 0.027270 0.122319 0.164485 0.679671 0.009140 0.290390
1 -0.167950 2.167120 9.890990 1860.398596 0.749525 12.982081 0.030535 0.129085 0.168790 0.704833 -0.001400 0.266651
1 -0.191650 2.601219 9.871595 1853.329673 0.691945 11.126708 0.039480 0.145114 0.178715 0.749599 -0.003720 0.268736
1 -0.189015 2.583551 9.855195 1847.256733 0.709425 12.012920 0.032395 0.165249 0.185860 0.770616 -0.000605 0.270040
1 -0.162200 2.834357 9.834005 1839.287538 0.682130 10.997479 0.025645 0.187214 0.195205 0.801613 0.011245 0.289584
1 -0.099830 3.206209 9.823590 1835.432151 0.670395 10.535713 0.022105 0.184466 0.201285 0.830964 0.026730 0.325138
1 -0.071340 3.058265 9.809820 1830.217086 0.689905 11.328515 0.019110 0.181097 0.200185 0.828198 0.040690 0.350610
1 -0.080320 2.920587 9.788030 1821.923155 0.709655 11.697138 0.018930 0.180700 0.193805 0.800190 0.052115 0.364333
1 -0.052665 3.047440 9.786715 1821.430846 0.691820 11.176418 0.019540 0.182610 0.190600 0.799480 0.061610 0.360804
1 -0.015675 2.984422 9.786120 1821.208032 0.694810 11.246292 0.032395 0.165667 0.174870 0.744574 0.074380 0.307885
1 0.011260 2.751122 9.799170 1826.087306 0.693730 11.217228 0.038105 0.167252 0.158835 0.704545 0.074590 0.307066
1 0.026105 2.496094 9.822755 1834.807531 0.685110 11.003752 0.041800 0.169595 0.141945 0.648619 0.067660 0.324905
1 0.039755 2.263800 9.852925 1846.031626 0.652545 10.682390 0.048555 0.180076 0.126795 0.624451 0.053820 0.340980
1 0.036880 2.303943 9.897820 1863.201236 0.659610 10.881184 0.053445 0.183724 0.110360 0.582035 0.036625 0.356188
1 0.044540 2.326054 9.893510 1861.621825 0.673495 11.354675 0.055095 0.184905 0.094630 0.557260 0.020775 0.309294
1 0.045975 2.322627 9.880460 1856.857505 0.657935 11.165269 0.056135 0.188213 0.085315 0.517559 0.006940 0.257464
1 0.010660 2.701720 9.854960 1847.463902 0.664640 11.193641 0.047855 0.183973 0.076060 0.482236 -0.001920 0.251023
1 -0.010170 3.010931 9.837120 1840.893003 0.634710 10.547493 0.039915 0.175619 0.073735 0.466546 0.003760 0.275301
1 0.021435 2.980297 9.807670 1829.885088 0.609690 10.174905 0.031825 0.174581 0.070710 0.440829 0.018150 0.337380
1 0.015210 2.929244 9.752720 1808.701664 0.601310 9.956313 0.016830 0.146310 0.066315 0.401129 0.028260 0.377028
1 0.032685 3.084039 9.738115 1803.120054 0.571140 9.197128 0.010260 0.151114 0.064330 0.381415 0.039590 0.407122
1 0.058305 3.594518 9.760025 1811.234157 0.589815 9.381134 0.004520 0.144655 0.065065 0.387343 0.049060 0.423631
1 0.126420 3.519951 9.785405 1820.550713 0.586340 9.353105 0.000305 0.128852 0.063050 0.371437 0.058585 0.441447
1 0.143535 3.529262 9.794500 1823.893362 0.513550 7.251213 0.011240 0.115276 0.061890 0.364970 0.055165 0.440837
1 0.134560 3.386919 9.808150 1828.986906 0.505890 7.070494 0.020555 0.094766 0.058345 0.344062 0.041910 0.427570
1 0.097445 2.809039 9.819405 1833.157361 0.477040 6.392950 0.025075 0.100056 0.054310 0.320137 0.026730 0.391330
1 0.123185 3.223643 9.857115 1847.798626 0.413355 4.900453 0.033690 0.128961 0.053880 0.319193 0.015825 0.357835
1 0.138270 3.485527 9.887760 1859.567076 0.469980 7.716452 0.028375 0.129068 0.049420 0.317655 0.006630 0.337942
1 0.129050 3.378937 9.887280 1859.387815 0.377440 9.048975 0.036655 0.184204 0.054185 0.323023 -0.000120 0.332316
