ElapsedTime	Mode0	Mode1	Acce0	Acce1	Acce2	Gyro0	Gyro1	Gyro2	Step
11	Stop	Right	-0.9026	9.4885	2.5738	0.0021	-0.2741	-0.1601	0.0
74	Stop	Right	-0.6369	9.5412	2.6289	0.0784	-0.4439	-0.0800	0.0
123	Stop	Right	-0.9026	9.4909	3.0120	0.1884	-0.2118	0.0171	0.0
190	Stop	Right	-0.6656	9.6585	2.1525	0.1823	-0.3022	-0.0055	0.0
239	Stop	Right	-0.5148	9.6513	2.6983	0.1474	-0.2368	-0.0758	0.0
307	Stop	Right	-0.6704	9.4813	2.1237	0.1780	-0.2692	-0.0862	0.0
372	Stop	Right	-0.7686	9.2539	1.9130	0.1035	-0.2460	-0.1002	0.0
422	Stop	Right	-0.6512	9.1366	2.2410	0.0436	-0.2863	-0.0886	0.0
488	Stop	Right	-0.4621	9.3257	2.1836	0.0534	-0.3541	-0.0336	0.0
555	Stop	Right	-0.4645	9.2443	2.2650	-0.0364	-0.3315	-0.0727	0.0
605	Stop	Right	-0.5100	9.2946	2.3464	-0.0499	-0.3688	-0.0727	0.0
672	Stop	Right	-0.5986	9.2491	2.2339	-0.0969	-0.3798	-0.1222	0.0
721	Stop	Right	-0.7087	9.2658	2.6576	-0.1287	-0.3969	-0.1399	0.0
787	Stop	Right	-0.5531	9.5723	2.6816	-0.1244	-0.4286	-0.0868	0.0
855	Stop	Right	-0.4669	9.6801	2.7319	-0.1067	-0.4256	-0.1167	0.0
904	Stop	Right	-0.7374	9.7112	2.7774	-0.0639	-0.4512	-0.1075	0.0
970	Stop	Right	-0.5243	9.7854	2.7869	-0.0273	-0.5068	-0.1295	0.0
1020	Stop	Right	-0.5914	9.6753	3.0264	0.0198	-0.5007	-0.1088	0.0
1088	Stop	Right	-0.6010	9.6417	2.6553	0.0986	-0.5233	-0.0965	0.0
1152	Stop	Right	-0.6105	9.6513	2.6026	0.0747	-0.5013	-0.1204	0.0
1203	Stop	Right	-0.6824	9.6250	2.3129	0.1444	-0.4989	-0.0874	0.0
1269	Stop	Right	-0.6776	9.5053	2.3967	0.1187	-0.4543	-0.0972	0.0
1335	Stop	Right	-0.5794	9.3999	2.4422	0.1499	-0.4494	-0.0794	0.0
1385	Stop	Right	-0.6465	9.2634	2.2315	0.1322	-0.4311	-0.1045	0.0
1452	Stop	Right	-0.5555	9.2060	2.0567	0.0747	-0.4378	-0.1008	0.0
1502	Stop	Right	-0.4956	9.2180	2.1955	0.0002	-0.3926	-0.0874	0.0
1568	Stop	Right	-0.6225	9.2802	2.2434	-0.0370	-0.3645	-0.0874	0.0
1634	Stop	Right	-0.6584	9.3353	2.1955	-0.0786	-0.3749	-0.0978	0.0
1684	Stop	Right	-0.3903	9.5244	2.4326	-0.0865	-0.3834	-0.0800	0.0
1750	Stop	Right	-0.6153	9.5771	2.7391	-0.1042	-0.3272	-0.1039	0.0
1800	Stop	Right	-0.2706	9.6609	2.5667	-0.0413	-0.3663	-0.0745	0.0
1867	Stop	Right	-0.4429	9.6106	2.7893	-0.0303	-0.3523	-0.1130	0.0
1933	Stop	Right	-0.2682	9.7040	2.5571	0.0375	-0.3999	-0.1424	0.0
1983	Stop	Right	-0.4573	9.6777	2.6529	0.0088	-0.3694	-0.1680	0.0
2050	Stop	Right	-0.4908	9.6058	2.8133	0.0790	-0.3889	-0.1399	0.0
2099	Stop	Right	-0.4382	9.6010	2.6960	0.0992	-0.3785	-0.1246	0.0
2165	Stop	Right	-0.4525	9.4526	2.4541	0.1083	-0.4005	-0.1491	0.0
2232	Stop	Right	-0.5052	9.2611	2.2554	0.0980	-0.3920	-0.1558	0.0
2282	Stop	Right	-0.7734	9.4957	2.7750	0.0357	-0.4329	-0.1546	0.0
2348	Stop	Right	-0.6680	9.5340	2.3775	0.1083	-0.4329	-0.1332	0.0
2414	Stop	Right	-0.7781	9.2946	2.4278	0.0925	-0.4378	-0.1546	0.0
2464	Stop	Right	-1.1397	9.2012	2.2027	0.0332	-0.4127	-0.1424	0.0
2531	Stop	Right	-1.0200	9.2874	2.3703	0.0308	-0.4152	-0.1265	0.0
2580	Stop	Right	-0.8787	9.2778	2.2722	-0.0187	-0.3883	-0.1295	0.0
2646	Stop	Right	-0.9577	9.3042	2.4110	-0.0224	-0.3755	-0.1112	0.0
2713	Stop	Right	-0.7135	9.5005	2.6337	0.0259	-0.4421	-0.0416	0.0
2762	Stop	Right	-0.5866	9.5795	2.3512	0.0253	-0.4262	-0.0434	0.0
2830	Stop	Right	-0.6848	9.6968	2.4948	0.0161	-0.4463	-0.0831	0.0
2896	Stop	Right	-0.7590	9.5867	2.7031	0.0399	-0.4353	-0.0562	0.0
2945	Stop	Right	-0.5842	9.6968	2.3224	0.0967	-0.4366	-0.0263	0.0
3012	Stop	Right	-0.6369	9.6585	2.4254	0.0699	-0.4634	-0.0648	0.0
3065	Stop	Right	-0.5555	9.6465	2.4637	0.0802	-0.4329	-0.0587	0.0
3128	Stop	Right	-0.5842	9.5579	2.2123	0.1108	-0.4518	-0.0636	0.0
3194	Stop	Right	-0.7590	9.5316	2.2530	0.0931	-0.4225	-0.0636	0.0
3244	Stop	Right	-0.5890	9.5939	1.8220	0.1083	-0.4182	-0.0495	0.0
3310	Stop	Right	-0.6967	9.6226	2.2602	0.0998	-0.3736	-0.0550	0.0
3377	Stop	Right	-0.5698	9.5939	2.0471	0.0864	-0.3614	-0.0855	0.0
3428	Stop	Right	-0.4022	9.4718	2.0351	0.0857	-0.3535	-0.0978	0.0
3493	Stop	Right	-0.6297	9.3233	1.9585	0.0479	-0.3486	-0.1338	0.0
3543	Stop	Right	-0.6058	9.2275	2.0160	0.0357	-0.3877	-0.0837	0.0
